date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:02:57	277649/277649	---M--	200	added ('OK')	image/jpeg	etag:%22399c34ba4a620d5781b3e4c15df06c0e%22	https://pgi.playbattlegrounds.com/assets/img/bkg_about_intro_chutes3.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/2n_8c2jn.jpg	(from https://pgi.playbattlegrounds.com/)
02:02:57	125161/125161	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Jul%202018%2019:37:27%20GMT	https://pgi.playbattlegrounds.com/about	C:/O/PUBG/pgi.playbattlegrounds.com/eiepno96.html	(from https://pgi.playbattlegrounds.com/)
02:02:57	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:02:57%20GMT	http://pgi.playbattlegrounds.com/teams	C:/O/PUBG/pgi.playbattlegrounds.com/v50aqnkz	(from https://pgi.playbattlegrounds.com/)
02:02:58	53582/53582	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Jul%202018%2019:37:29%20GMT	https://pgi.playbattlegrounds.com/teams	C:/O/PUBG/pgi.playbattlegrounds.com/aoar9bb7.html	(from https://pgi.playbattlegrounds.com/)
02:02:58	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:02:58%20GMT	http://pgi.playbattlegrounds.com/schedule	C:/O/PUBG/pgi.playbattlegrounds.com/_2y705r7	(from https://pgi.playbattlegrounds.com/)
02:02:59	58020/58020	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Jul%202018%2019:37:29%20GMT	https://pgi.playbattlegrounds.com/schedule	C:/O/PUBG/pgi.playbattlegrounds.com/px-nthhe.html	(from https://pgi.playbattlegrounds.com/)
02:03:00	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:02:59%20GMT	http://pgi.playbattlegrounds.com/standings	C:/O/PUBG/pgi.playbattlegrounds.com/3j01bl8f	(from https://pgi.playbattlegrounds.com/)
02:03:01	75812/75812	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Jul%202018%2019:37:29%20GMT	https://pgi.playbattlegrounds.com/standings	C:/O/PUBG/pgi.playbattlegrounds.com/i4bg5zyn.html	(from https://pgi.playbattlegrounds.com/)
02:03:01	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:00%20GMT	http://pgi.playbattlegrounds.com/media	C:/O/PUBG/pgi.playbattlegrounds.com/mhjyx8zw	(from https://pgi.playbattlegrounds.com/)
02:03:02	102304/102304	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Jul%202018%2019:37:27%20GMT	https://pgi.playbattlegrounds.com/media	C:/O/PUBG/pgi.playbattlegrounds.com/3bwdqkp4.html	(from https://pgi.playbattlegrounds.com/)
02:03:02	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:02%20GMT	http://pgi.playbattlegrounds.com/assets/img/logo/gold_nav_logo.png	C:/O/PUBG/pgi.playbattlegrounds.com/fq8jp12-.png	(from https://pgi.playbattlegrounds.com/)
02:03:02	9854/9854	---M--	200	added ('OK')	image/png	etag:%222db8bb995a9f8732dc8d156fdb7cc32a%22	https://pgi.playbattlegrounds.com/assets/img/logo/gold_nav_logo.png	C:/O/PUBG/pgi.playbattlegrounds.com/w-i0icsh.png	(from https://pgi.playbattlegrounds.com/)
02:03:03	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:02%20GMT	http://pgi.playbattlegrounds.com/news	C:/O/PUBG/pgi.playbattlegrounds.com/w-w0b-4j	(from https://pgi.playbattlegrounds.com/)
02:03:03	25680/25680	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Jul%202018%2019:37:27%20GMT	https://pgi.playbattlegrounds.com/news	C:/O/PUBG/pgi.playbattlegrounds.com/b68f5nvg.html	(from https://pgi.playbattlegrounds.com/)
02:03:03	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:03%20GMT	http://pgi.playbattlegrounds.com/posts	C:/O/PUBG/pgi.playbattlegrounds.com/je1n44qv	(from https://pgi.playbattlegrounds.com/)
02:03:05	45677/45677	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Jul%202018%2019:37:17%20GMT	https://pgi.playbattlegrounds.com/posts	C:/O/PUBG/pgi.playbattlegrounds.com/zyc4wghs.html	(from https://pgi.playbattlegrounds.com/)
02:03:05	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:04%20GMT	http://pgi.playbattlegrounds.com/assets/img/logo/logo_sponsors_black.png	C:/O/PUBG/pgi.playbattlegrounds.com/l0weriql.png	(from https://pgi.playbattlegrounds.com/)
02:03:05	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:05%20GMT	http://pgi.playbattlegrounds.com/assets/img/logo/logo_footer.png	C:/O/PUBG/pgi.playbattlegrounds.com/diw-saw7.png	(from https://pgi.playbattlegrounds.com/)
02:03:05	201235/201235	---M--	200	added ('OK')	image/png	etag:%226d17c45a2fb84e42724c8dd1bfbd5a80%22	https://pgi.playbattlegrounds.com/assets/img/logo/logo_sponsors_black.png	C:/O/PUBG/pgi.playbattlegrounds.com/2j8wkwst.png	(from https://pgi.playbattlegrounds.com/)
02:03:06	3464/3464	---M--	200	added ('OK')	image/png	etag:%22af3d500021071888835aa0cb089ad50e%22	https://pgi.playbattlegrounds.com/assets/img/logo/logo_footer.png	C:/O/PUBG/pgi.playbattlegrounds.com/ud8elome.png	(from https://pgi.playbattlegrounds.com/)
02:03:06	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:05%20GMT	http://pgi.playbattlegrounds.com/privacy	C:/O/PUBG/pgi.playbattlegrounds.com/gwv6fibm	(from https://pgi.playbattlegrounds.com/)
02:03:07	46874/46874	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Jul%202018%2019:37:29%20GMT	https://pgi.playbattlegrounds.com/privacy	C:/O/PUBG/pgi.playbattlegrounds.com/xe7l_weu.html	(from https://pgi.playbattlegrounds.com/)
02:03:07	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:06%20GMT	http://pgi.playbattlegrounds.com/assets/img/intel_logo_white.png	C:/O/PUBG/pgi.playbattlegrounds.com/_69k0tey.png	(from https://pgi.playbattlegrounds.com/)
02:03:07	3836/3836	---M--	200	added ('OK')	image/png	etag:%22e5b663dc5c917d242bb002d941686c36%22	https://pgi.playbattlegrounds.com/assets/img/intel_logo_white.png	C:/O/PUBG/pgi.playbattlegrounds.com/p1k2s766.png	(from https://pgi.playbattlegrounds.com/)
02:03:07	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:07%20GMT	http://pgi.playbattlegrounds.com/assets/js/cookieconsent.min.js	C:/O/PUBG/pgi.playbattlegrounds.com/2xzyyl4l.js	(from https://pgi.playbattlegrounds.com/)
02:03:09	19802/19802	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2019:37:17%20GMT	https://pgi.playbattlegrounds.com/assets/js/cookieconsent.min.js	C:/O/PUBG/pgi.playbattlegrounds.com/hfadrzut.js	(from https://pgi.playbattlegrounds.com/)
02:03:09	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:08%20GMT	http://pgi.playbattlegrounds.com/assets/js/coherent.js	C:/O/PUBG/pgi.playbattlegrounds.com/uzpun79j.js	(from https://pgi.playbattlegrounds.com/)
02:03:10	21022/21022	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2019:37:17%20GMT	https://pgi.playbattlegrounds.com/assets/js/coherent.js	C:/O/PUBG/pgi.playbattlegrounds.com/-t2-gj0s.js	(from https://pgi.playbattlegrounds.com/)
02:03:10	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:09%20GMT	http://pgi.playbattlegrounds.com/assets/js/coherent.mock.js	C:/O/PUBG/pgi.playbattlegrounds.com/evcyhayz.js	(from https://pgi.playbattlegrounds.com/)
02:03:11	1066/1066	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2019:37:17%20GMT	https://pgi.playbattlegrounds.com/assets/js/coherent.mock.js	C:/O/PUBG/pgi.playbattlegrounds.com/vdpe-np8.js	(from https://pgi.playbattlegrounds.com/)
02:03:11	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:11%20GMT	http://pgi.playbattlegrounds.com/inline.318b50c57b4eba3d437b.bundle.js	C:/O/PUBG/pgi.playbattlegrounds.com/hxe_le4i.js	(from https://pgi.playbattlegrounds.com/)
02:03:12	796/796	---M--	200	added ('OK')	application/javascript	etag:%226eaa1608803b51f7d836604d9585670d%22	https://pgi.playbattlegrounds.com/inline.318b50c57b4eba3d437b.bundle.js	C:/O/PUBG/pgi.playbattlegrounds.com/yfqqesuq.js	(from https://pgi.playbattlegrounds.com/)
02:03:12	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:12%20GMT	http://pgi.playbattlegrounds.com/polyfills.7cbb23f414d56d372da9.bundle.js	C:/O/PUBG/pgi.playbattlegrounds.com/bt98h5uk.js	(from https://pgi.playbattlegrounds.com/)
02:03:14	94934/94934	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2019:37:17%20GMT	https://pgi.playbattlegrounds.com/polyfills.7cbb23f414d56d372da9.bundle.js	C:/O/PUBG/pgi.playbattlegrounds.com/sbknagkt.js	(from https://pgi.playbattlegrounds.com/)
02:03:14	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:13%20GMT	http://pgi.playbattlegrounds.com/scripts.2359c8f2d80a9e6da647.bundle.js	C:/O/PUBG/pgi.playbattlegrounds.com/1wnwz8_y.js	(from https://pgi.playbattlegrounds.com/)
02:03:14	130676/130676	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2019:37:19%20GMT	https://pgi.playbattlegrounds.com/scripts.2359c8f2d80a9e6da647.bundle.js	C:/O/PUBG/pgi.playbattlegrounds.com/gr0bsv07.js	(from https://pgi.playbattlegrounds.com/)
02:03:14	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:14%20GMT	http://pgi.playbattlegrounds.com/main.f386d4d1dbed03b606a6.bundle.js	C:/O/PUBG/pgi.playbattlegrounds.com/9dx4m5nc.js	(from https://pgi.playbattlegrounds.com/)
02:03:15	1770066/1770066	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2019:37:17%20GMT	https://pgi.playbattlegrounds.com/main.f386d4d1dbed03b606a6.bundle.js	C:/O/PUBG/pgi.playbattlegrounds.com/n__jfhdk.js	(from https://pgi.playbattlegrounds.com/)
02:03:15	32697/32697	---M--	200	added ('OK')	image/jpeg	etag:%22754a81c3683fc4e2d6fa788b16c559c5%22	https://pgi.playbattlegrounds.com/assets/img/bkg_generic.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/8hhfq0b3.jpg	(from https://pgi.playbattlegrounds.com/styles.96c6f0a423bc5e8a96da.bundle.css)
02:03:15	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:15%20GMT	http://pgi.playbattlegrounds.com/assets/img/about_prizes_background.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/18tnq-0w.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:16	39330/39330	---M--	200	added ('OK')	image/jpeg	etag:%224b90ba406437f774877fd0b2db44c4cf%22	https://pgi.playbattlegrounds.com/assets/img/about_prizes_background.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/gq54jmr4.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:16	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:15%20GMT	http://pgi.playbattlegrounds.com/assets/img/about_prizes_sheila.png	C:/O/PUBG/pgi.playbattlegrounds.com/rw4too2c.png	(from https://pgi.playbattlegrounds.com/about)
02:03:17	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:16%20GMT	http://pgi.playbattlegrounds.com/assets/img/about_prizes_michelle.png	C:/O/PUBG/pgi.playbattlegrounds.com/ck9ojsl7.png	(from https://pgi.playbattlegrounds.com/about)
02:03:17	156572/156572	---M--	200	added ('OK')	image/png	etag:%2238de1aabb677d0e01ada4e89dee86f7c%22	https://pgi.playbattlegrounds.com/assets/img/about_prizes_sheila.png	C:/O/PUBG/pgi.playbattlegrounds.com/8rf_gctk.png	(from https://pgi.playbattlegrounds.com/about)
02:03:17	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:17%20GMT	http://pgi.playbattlegrounds.com/assets/img/bkg_rules.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/gg_qznk3.jpg	(from https://pgi.playbattlegrounds.com/about)
